Q1,1. 您是否經常莫名的感到emo（1~5分)
Q2,2. 您是否認為自己跟不上上課進度，導致課後作業不知道該如何處理而感到壓力（1~5分）
Q3,3. 您是否覺得常常跟另一半吵架，不知道該如何與他/她相處而感到壓力（1~5分）
Q4,4. 您因為對自我升學或未來就業問題而感到壓力（1~5分）
Q5,5. 您和朋友在看法或價值觀上因為存在分歧，而對您與朋友相處感到壓力？（1~5分）
Q6,6. 您是否因為生理或心理上的因素導致學業上無法跟進（1~5分）
Q7,7. 您是否擔心無法拿到獎學金而對生活日常支出感到壓力?（1~5分）
Q8,8. 您是否在友情和愛情中感到雙重期望，而產生了額外的壓力？（1~5分）
Q9,9. 您是否認為跟朋友相處時，無法與他們討論課堂內容而感到壓力（1~5分）
Q10,10. 常常覺得交男女朋友會影響我的學業表現，在情感與課業之間平衡讓我感到壓力（1~5分）
Q11,11. 您是否認為在學業表現上不如父母的預期而感到壓力（1~5分）
Q12,12. 您是否會因為同儕的喜好不同，但為了做朋友而假裝有相同的喜好而備感壓力（1~5分)
Q13,13. 您是否擔心另一半的家人覺得自己配不上對方，也擔心自己的家人覺得自己的對象不好（1~5分）
Q14,14. 您是否因為與另一半或朋友的時間安排不協調而感到壓力？（1-5分）
Q15,15. 在與愛人討論未來，您是否感到家庭期望和愛情期許之間存在衝突，這是否對您產生了影響？（1~5分)
Q16,16. 您是否因為家庭對未來的期望而對未來的擔憂而感到壓力（1-5分）
Q17,17. 您是否因為金錢方面的困難而感到在與朋友間的交流或活動中有所限制？（1-5分）
